"Victimizaciones (número de casos) por ámbito teritorial, violencia contra las mujeres y periodo"

"Beasain","Total",18,23,20,27,38,39,38,59
"Beasain","Violencia ejercida por pareja / expareja",:,14,15,24,32,28,28,50
"Beasain","Violencia intrafamiliar",:,4,3,2,4,10,3,3
"Beasain","Violencia sexual en otros tipos de relación(*)",:,5,2,1,2,1,7,6
"Bedia","Total",1,2,0,2,1,5,2,2
"Bedia","Violencia ejercida por pareja / expareja",:,1,0,2,0,5,2,1
"Bedia","Violencia intrafamiliar",:,1,0,0,0,0,0,1
"Bedia","Violencia sexual en otros tipos de relación(*)",:,0,0,0,1,0,0,:
"Beizama","Total",0,0,0,0,0,0,0,:
"Beizama","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
